1128846,504.0
1130447,252.0
1132355,3231.08
1135924,756.0
1140932,504.0
1141079,933.77
1142078,252.0
1143884,252.0
1143881,177.77
1143868,122.16
1144401,252.0
1144712,122.16
1149664,681.77
1151167,533.3100000000001
1151925,785.31
1152801,122.16
1155014,355.54
1155186,122.16
1150038,27890.529999999933
1155953,299.93
1155886,229.57999999999998
1155884,98.04
1156083,107.42
1156122,98.04
1156596,252.0
1156357,177.77
1156628,107.42
1157588,355.54
1157703,244.32
1159598,252.0
1160015,355.54
1160708,355.54
1162828,355.54
1163287,265.96000000000004
1163348,122.16
1163751,122.16
1164768,453.58000000000004
1164747,366.48
1165386,434.73
1166275,252.0
1168747,177.77
1170021,443.73
1170825,299.93
1171028,462.96000000000004
1171454,177.77
1171512,107.42
1171420,98.04
1171428,88.19
1172100,429.77
1150041,22454.57
1173062,79.19
1176166,220.2
1176174,256.96000000000004
1177191,355.54
1177957,122.16
1180343,429.77
1179981,299.93
1181258,3106.49
1150042,18058.449999999997
1183243,56.78
1184996,72.29
1185241,443.73
1189889,72.29
1192165,355.54
1150043,7626.380000000001
1194383,177.77
1195431,355.54
1195313,107.42
1195934,177.77
1197600,626.16
1197981,242.61
1198759,238.11
1198783,355.54
1199091,244.32
1200195,859.54
